implementation,N_points,N_threads,A,B,time
s,10000000,2,10.00000000,100.00000000,0.57353377
s,10000000,2,100.00000000,1000.00000000,0.56322571
s,10000000,3,0.00001000,0.00010000,0.92974685
s,10000000,3,0.00010000,0.00100000,0.76731071
s,10000000,3,0.00100000,0.01000000,0.75614700
s,10000000,3,0.01000000,0.10000000,0.75029189
s,10000000,3,0.10000000,1.00000000,0.72290376
s,10000000,3,1.00000000,10.00000000,0.58695059
s,10000000,3,10.00000000,100.00000000,0.57231809
s,10000000,3,100.00000000,1000.00000000,0.56285586
s,10000000,4,0.00001000,0.00010000,0.92843627
s,10000000,4,0.00010000,0.00100000,0.76776099
s,10000000,4,0.00100000,0.01000000,0.75523710
s,10000000,4,0.01000000,0.10000000,0.74948012
s,10000000,4,0.10000000,1.00000000,0.72499400
s,10000000,4,1.00000000,10.00000000,0.58967988
s,10000000,4,10.00000000,100.00000000,0.57194293
s,10000000,4,100.00000000,1000.00000000,0.56357364
s,10000000,5,0.00001000,0.00010000,0.93011599
s,10000000,5,0.00010000,0.00100000,0.76659422
s,10000000,5,0.00100000,0.01000000,0.75888055
s,10000000,5,0.01000000,0.10000000,0.75138577
s,10000000,5,0.10000000,1.00000000,0.72259029
s,10000000,5,1.00000000,10.00000000,0.58942389
s,10000000,5,10.00000000,100.00000000,0.57301833
s,10000000,5,100.00000000,1000.00000000,0.56244157
s,10000000,6,0.00001000,0.00010000,0.93215390
s,10000000,6,0.00010000,0.00100000,0.76625583
s,10000000,6,0.00100000,0.01000000,0.75842935
s,10000000,6,0.01000000,0.10000000,0.75209897
s,10000000,6,0.10000000,1.00000000,0.72224782
s,10000000,6,1.00000000,10.00000000,0.58693551
s,10000000,6,10.00000000,100.00000000,0.57211700
s,10000000,6,100.00000000,1000.00000000,0.56259460
s,10000000,7,0.00001000,0.00010000,0.93050529
s,10000000,7,0.00010000,0.00100000,0.76791602
s,10000000,7,0.00100000,0.01000000,0.75542748
s,10000000,7,0.01000000,0.10000000,0.74998522
s,10000000,7,0.10000000,1.00000000,0.72353965
s,10000000,7,1.00000000,10.00000000,0.58713195
s,10000000,7,10.00000000,100.00000000,0.57257539
s,10000000,7,100.00000000,1000.00000000,0.56431233
s,10000000,8,0.00001000,0.00010000,0.92848550
s,10000000,8,0.00010000,0.00100000,0.76654822
s,10000000,8,0.00100000,0.01000000,0.75591709
s,10000000,8,0.01000000,0.10000000,0.75085379
s,10000000,8,0.10000000,1.00000000,0.72250999
s,10000000,8,1.00000000,10.00000000,0.58816114
s,10000000,8,10.00000000,100.00000000,0.57213647
s,10000000,8,100.00000000,1000.00000000,0.56266821
s,10000000,9,0.00001000,0.00010000,0.92934322
s,10000000,9,0.00010000,0.00100000,0.76909579
s,10000000,9,0.00100000,0.01000000,0.75533708
s,10000000,9,0.01000000,0.10000000,0.75208589
s,10000000,9,0.10000000,1.00000000,0.72198498
s,10000000,9,1.00000000,10.00000000,0.58783383
s,10000000,9,10.00000000,100.00000000,0.57464039
s,10000000,9,100.00000000,1000.00000000,0.56474915
s,10000000,10,0.00001000,0.00010000,0.92794644
s,10000000,10,0.00010000,0.00100000,0.76659219
s,10000000,10,0.00100000,0.01000000,0.75581429
s,10000000,10,0.01000000,0.10000000,0.74978376
s,10000000,10,0.10000000,1.00000000,0.72255305
s,10000000,10,1.00000000,10.00000000,0.58693021
s,10000000,10,10.00000000,100.00000000,0.57235340
s,10000000,10,100.00000000,1000.00000000,0.56266478
s,10000000,11,0.00001000,0.00010000,0.92891027
s,10000000,11,0.00010000,0.00100000,0.76645649
s,10000000,11,0.00100000,0.01000000,0.75639012
s,10000000,11,0.01000000,0.10000000,0.75093954
s,10000000,11,0.10000000,1.00000000,0.72352594
s,10000000,11,1.00000000,10.00000000,0.58989863
s,10000000,11,10.00000000,100.00000000,0.57204908
s,10000000,11,100.00000000,1000.00000000,0.56296337
s,10000000,12,0.00001000,0.00010000,0.92891219
s,10000000,12,0.00010000,0.00100000,0.76636934
s,10000000,12,0.00100000,0.01000000,0.75647782
s,10000000,12,0.01000000,0.10000000,0.75140113
s,10000000,12,0.10000000,1.00000000,0.72255613
